judul,artist,file_audio,file_lirik,file_poster,tahun,genre 1,Era
Terserah,Glenn Fredly,53,53,53,2008,Jazz,2000'
Sekali ini Saja,Glenn Fredly,54,54,54,2002,Jazz,2000'
Januari,Glenn Fredly,55,55,55,2002,Jazz,2000'
Terpesona,Glenn Fredly,56,56,56,2002,Jazz,2000'
Kisah yang Salah,Glenn Fredly,57,57,57,2007,Jazz,2000'
Tetes Embun,Glenn Fredly,58,58,58,2002,Jazz,2000'
Aku Masih Disini,Glenn Fredly,59,59,59,2002,Jazz,2000'
Habis,Glenn Fredly,60,60,60,2002,Jazz,2000'
Kenangan Terindah,Samsons,61,61,61,2005,Pop,2000'
Bukan Diriku,Samsons,62,62,62,2005,Pop,2000'
Akhir Rasa Ini,Samsons,63,63,63,2005,Pop,2000'
Romansa Cinta,Samsons,64,64,64,2005,Pop,2000'
Di Penghujung Muda,Samsons,65,65,65,2005,Pop,2000'
Luluh,Samsons,66,66,66,2007,Pop,2000'
Kisah Tak Sempurna,Samsons,67,67,67,2007,Pop,2000'
Hey Gadis,Samsons,68,68,68,2007,Pop,2000'
Perbedaaan,Samsons,69,69,69,2007,Pop,2000'
Jika ku Harus Bermimpi,Samsons,70,70,70,2007,Pop,2000'
Demi Waktu,Ungu,71,71,71,2005,Pop,2000'
Tercipta Untukku,Ungu,72,72,72,2005,Pop,2000'
Aku Bukan Pilihan Hatimu,Ungu,73,73,73,2005,Pop,2000'
Sejauh Mungkin,Ungu,74,74,74,2005,Pop,2000'
Seperti yang Dulu,Ungu,75,75,75,2005,Pop,2000'
Berikan aku Cinta,Ungu,76,76,76,2005,Pop,2000'
SurgaMu,Ungu,77,77,77,2006,Pop,2000'
Andai Ku Tahu,Ungu,78,78,78,2008,Pop,2000'
Cinta Dalam Hati,Ungu,79,79,79,2007,Pop,2000'
Laguku,Ungu,80,80,80,2002,Pop,2000'
Bendera,Cokelat,81,81,81,2001,Rock,2000'
Karma,Cokelat,82,82,82,2001,Rock,2000'
Luka Lama,Cokelat,83,83,83,2001,Rock,2000'
Jauh,Cokelat,84,84,84,2001,Rock,2000'
Dia,Cokelat,85,85,85,2001,Rock,2000'
Terlalu Indah,Cokelat,86,86,86,2006,Rock,2000'
Nyanyian Sahabat,Cokelat,87,87,87,2006,Rock,2000'
Syukur,Cokelat,88,88,88,2006,Rock,2000'
Dilema,Cokelat,89,89,89,2003,Rock,2000'
Kuasa-Nya,Cokelat,90,90,90,2003,Rock,2000'
Cinta Gila,Dewa,91,91,91,2004,Rock,2000'
Pangeran Cinta,Dewa,92,92,92,2004,Rock,2000'
Hadapi dengan Senyuman,Dewa,93,93,93,2004,Rock,2000'
Hidup ini Indah,Dewa,94,94,94,2004,Rock,2000'
Pupus,Dewa,95,95,95,2002,Rock,2000'
Separuh Nafas,Dewa,96,96,96,2000,Rock,2000'
Arjuna,Dewa,97,97,97,2002,Rock,2000'
Perempuan Paling Cantik,Dewa,98,98,98,2008,Rock,2000'
Dewi,Dewa,99,99,99,2007,Rock,2000'
Cemburu,Dewa,100,100,100,2000,Rock,2000'
Karena ku Cinta Kau,Bunga Citra Lestari,101,101,101,2009,Pop,2000'
Ingkar,Bunga Citra Lestari,102,102,102,2006,Pop,2000'
Pernah Muda,Bunga Citra Lestari,103,103,103,2008,Pop,2000'
Kecewa,Bunga Citra Lestari,104,104,104,2008,Pop,2000'
Tetaplah dihatiku,Bunga Citra Lestari,105,105,105,2007,Pop,2000'
Terpanah Asmara,Bunga Citra Lestari,106,106,106,2006,Pop,2000'
Saat kau Pergi,Bunga Citra Lestari,107,107,107,2006,Pop,2000'
Mengapa Harus Terjadi,Bunga Citra Lestari,108,108,108,2006,Pop,2000'
Yang Lalu Biarlah Berlalu,Bunga Citra Lestari,109,109,109,2006,Pop,2000'
Aku Pasti Datang,Bunga Citra Lestari,110,110,110,2008,Pop,2000'
Cinta,Melly Goeslaw,111,111,111,2005,Pop,2000'
Tak Tahan Lagi,Melly Goeslaw,112,112,112,2003,Pop,2000'
Catatanku,Melly Goeslaw,113,113,113,2003,Pop,2000'
Gantung,Melly Goeslaw,114,114,114,2006,Pop,2000'
Pujaanku,Melly Goeslaw,115,115,115,2003,Pop,2000'
Tentang dia,Melly Goeslaw,116,116,116,2005,Pop,2000'
Bulan Kedua,Melly Goeslaw,117,117,117,2003,Pop,2000'
Apa Artinya Cinta,Melly Goeslaw,118,118,118,2005,Pop,2000'
Denting,Melly Goeslaw,119,119,119,2002,Pop,2000'
Ada Apa Dengan Cinta,Melly Goeslaw,120,120,120,2002,Pop,2000'
Ku Tak Bisa,Slank,121,121,121,2004,Rock,2000'
I Miss u But I Hate You,Slank,122,122,122,2002,Rock,2000'
Foto didalam Dompetmu,Slank,123,123,123,2004,Rock,2000'
Juwita Malam,Slank,124,124,124,2004,Rock,2000'
Pasti,Slank,125,125,125,2004,Rock,2000'
Jakarta Pagi Ini,Slank,126,126,126,2004,Rock,2000'
Kereta Terakhir,Slank,127,127,127,2004,Rock,2000'
Biru,Slank,128,128,128,2004,Rock,2000'
Jakarta Meledak Lagi,Slank,129,129,129,2004,Rock,2000'
Gossip Jalanan,Slank,130,130,130,2004,Rock,2000'
Selamat Tinggal Kekasihku,J-Rocks,131,131,131,2005,Rock,2000'
Lepaskan Diriku,J-Rocks,132,132,132,2005,Rock,2000'
Berharap Kau Kembali,J-Rocks,133,133,133,2005,Rock,2000'
Ceria,J-Rocks,134,134,134,2005,Rock,2000'
Entah Bagaimana,J-Rocks,135,135,135,2005,Rock,2000'
Kuingin Kau Untukku,J-Rocks,136,136,136,2005,Rock,2000'
Cobalah Kau Mengerti,J-Rocks,137,137,137,2007,Rock,2000'
Juwita Hati,J-Rocks,138,138,138,2007,Rock,2000'
Semakin Sendiri,J-Rocks,139,139,139,2007,Rock,2000'
Mestinya Kau Tahu,J-Rocks,140,140,140,2007,Rock,2000'
Terlanjur Cinta,Rossa,141,141,141,2009,Jazz,2000'
Takkan Berpaling Cinta,Rossa,142,142,142,2009,Jazz,2000'
Hati yang Kau Sakiti,Rossa,143,143,143,2009,Jazz,2000'
Atas Nama Cinta,Rossa,144,144,144,2006,Jazz,2000'
Aku Bukan Untukmu,Rossa,145,145,145,2005,Jazz,2000'
Terlalu Cinta,Rossa,146,146,146,2006,Jazz,2000'
Wanita yang Kau Pilih,Rossa,147,147,147,2005,Jazz,2000'
Tega,Rossa,148,148,148,2009,Jazz,2000'
Takdir Cinta,Rossa,149,149,149,2008,Jazz,2000'
Perawan Cinta,Rossa,150,150,150,2002,Jazz,2000'
Pilihanku,Maliq D'Essential,151,151,151,2009,Jazz,2000'
Terdiam,Maliq D'Essential,152,152,152,2005,Jazz,2000'
Itu Adanya,Maliq D'Essential,153,153,153,2007,Jazz,2000'
Beri Cinta Waktu,Maliq D'Essential,154,154,154,2007,Jazz,2000'
Mata Hati Telinga,Maliq D'Essential,155,155,155,2009,Jazz,2000'
Kau yang Bisa,Maliq D'Essential,156,156,156,2007,Jazz,2000'
Kangen,Maliq D'Essential,157,157,157,2005,Jazz,2000'
Satu Masa,Maliq D'Essential,158,158,158,2007,Jazz,2000'
Masih Tersimpan,Maliq D'Essential,159,159,159,2007,Jazz,2000'
Hadirmu,Maliq D'Essential,160,160,160,2005,Jazz,2000'
Saat Terakhir,ST'12,161,161,161,2009,Jazz,2000'
Rasa Yang Tertinggal,ST'12,162,162,162,2005,Jazz,2000'
Jangan Pernah Berubah,ST'12,163,163,163,2009,Jazz,2000'
Cinta Tak Direstui,ST'12,164,164,164,2009,Jazz,2000'
Cari Pacar Lagi,ST'12,165,165,165,2009,Jazz,2000'
Aku Masih Sayang,ST'12,166,166,166,2005,Jazz,2000'
Putri Iklan,ST'12,167,167,167,2009,Jazz,2000'
PUSPA,ST'12,168,168,168,2009,Jazz,2000'
Biarkan Aku Jatuh Cinta,ST'12,169,169,169,2009,Jazz,2000'
Isabella,ST'12,170,170,170,2009,Jazz,2000'
Menghujam Jantungku,Tompi,171,171,171,2008,Jazz,2000'
Sedari Dulu,Tompi,172,172,172,2008,Jazz,2000'
Salahkah,Tompi,173,173,173,2007,Jazz,2000'
Selalu Denganmu,Tompi,174,174,174,2004,Jazz,2000'
Cinta yang Kucari,Tompi,175,175,175,2004,Jazz,2000'
Tentang Kamu,Tompi,176,176,176,2004,Jazz,2000'
Ramadhan Datang,Tompi,177,177,177,2007,Jazz,2000'
Teman Sejati,Mocca,178,178,178,2007,Jazz,2000'
Bintang Jatuh,Tompi,179,179,179,2004,Jazz,2000'
Balonku,Tompi,180,180,180,2004,Jazz,2000'
Hanya Satu,Mocca,181,181,181,2005,Jazz,2000'
Desember-Ku,Ten2Five,182,182,182,2004,Jazz,2000'
Suara,Hijau Daun,183,183,183,2008,Pop,2000'
Bila,Ten2Five,184,184,184,2004,Jazz,2000'
Sebelum Kau Tidur,Mocca,185,185,185,2005,Jazz,2000'
Cobalah,Hijau Daun,186,186,186,2004,Jazz,2000'
Takkan,Ten2Five,187,187,187,2006,Jazz,2000'
Sampai Kau Bicara,Hijau Daun,188,188,188,2008,Pop,2000'
Selau Begitu,Hijau Daun,189,189,189,2008,Pop,2000'
Dunia Lain,Hijau Daun,190,190,190,2008,Pop,2000'
Ikuti Cahaya,Hijau Daun,191,191,191,2008,Pop,2000'
Masih Bebas,Andien,192,192,192,2002,Jazz,2000'
Di Batas Mimpi,Andien,193,193,193,2002,Jazz,2000'
Denganmu Sahabatku,Andien,194,194,194,2005,Jazz,2000'
Lihatlah,Hijau Daun,195,195,195,2008,Pop,2000'
Jatuh,Hijau Daun,196,196,196,2008,Pop,2000'
Kehadiranmu,Vagetoz,197,197,197,2007,Pop,2000'
Saat Kau Pergi,Vagetoz,198,198,198,2007,Pop,2000'
Betapa Aku Mencintaimu,Vagetoz,199,199,199,2007,Pop,2000'
Penyesalan,Vagetoz,200,200,200,2002,Jazz,2000'
Mantan Terindah,Raisa,201,201,201,2013,Jazz,now
Jatuh Hati,Raisa,202,202,202,2016,Jazz,now
Kali Kedua,Raisa,203,203,203,2016,Jazz,now
Apalah arti menunggu,Raisa,204,204,204,2011,Jazz,now
LDR,Raisa,205,205,205,2013,Jazz,now
Serba Salah,Raisa,206,206,206,2011,Jazz,now
Percayalah,Raisa,207,207,207,2016,Jazz,now
Could it Be,Raisa,208,208,208,2011,Jazz,now
Teka Teki,Raisa,209,209,209,2013,Jazz,now
Tentang Cinta,Raisa,210,210,210,2016,Jazz,now
Kunci Hati,Afgan,211,211,211,2016,Jazz,now
Setia Menunggu,Afgan,212,212,212,2016,Jazz,now
Berlalu,Afgan,213,213,213,2016,Jazz,now
Jalan Terus,Afgan,214,214,214,2016,Jazz,now
Knock Me Out,Afgan,215,215,215,2016,Jazz,now
Bunga Terakhir,Afgan,216,216,216,2012,Jazz,now
Rasa Terindah,Afgan,217,217,217,2013,Jazz,now
Berani Sadari,Afgan,218,218,218,2016,Jazz,now
Ku Dengannya Kau dengan Dia,Afgan,219,219,219,2016,Jazz,now
Count on Me,Afgan,220,220,220,2016,Jazz,now
Walau Habis Terang,Noah,221,221,221,2014,Pop,now
Langit Tak Mendengar,Noah,222,222,222,2014,Pop,now
Tak ada Yang Abadai,Noah,223,223,223,2014,Pop,now
"Hidup Untukmu, Mati Tanpamu",Noah,224,224,224,2012,Pop,now
Menunggu Pagi,Noah,225,225,225,2014,Pop,now
Tak Bisakah,Noah,226,226,226,2014,Pop,now
Jika Engkau,Noah,227,227,227,2012,Pop,now
Kisah Cintaku,Noah,228,228,228,2016,Pop,now
Sendiri Lagi,Noah,229,229,229,2012,Pop,now
Andakan Kau Datang,Noah,230,230,230,2016,Pop,now
Aku Tahu,Ungu,231,231,231,2015,Rock,now
Terbaik,Ungu,232,232,232,2015,Rock,now
Andai Aku Bisa,Ungu,233,233,233,2015,Rock,now
Hanya Untukmu,Ungu,234,234,234,2015,Rock,now
Dirimu Satu,Ungu,235,235,235,2010,Rock,now
Percaya Padaku,Ungu,236,236,236,2010,Rock,now
Saat Bahagia,Ungu,237,237,237,2010,Rock,now
Selamanya,Ungu,238,238,238,2010,Rock,now
Mabuk Kepayang,Ungu,239,239,239,2010,Rock,now
Dia atau Diriku,Ungu,240,240,240,2010,Rock,now
Jika,Ten2Five,241,241,241,2012,Jazz,now
Aku ada Rahasia,Ten2Five,242,242,242,2012,Jazz,now
Setengah Hatiku Tertinggal,Geisha,243,243,243,2014,Pop,now
Adil Bagimu Tak Adil Bagiku,Geisha,244,244,244,2014,Pop,now
Akulah Pelangimu,Geisha,245,245,245,2014,Pop,now
Sudahlah Sudahlah,Geisha,246,246,246,2014,Pop,now
Kamu Jahat,Geisha,247,247,247,2014,Pop,now
Acuh Tak Acuh,Geisha,248,248,248,2014,Pop,now
Sisi Lainnya,Geisha,249,249,249,2014,Pop,now
Aku Harus Sendiri,Geisha,250,250,250,2014,Pop,now
Cinta Dalam Hidupku,Rossa,251,251,251,2017,Jazz,now
Bukan Maksudku,Rossa,252,252,252,2017,Jazz,now
Tlah Mencoba,Rossa,253,253,253,2017,Jazz,now
Satu Hal yang Bodoh,Rossa,254,254,254,2017,Jazz,now
Jangan Hilangkan Dia,Rossa,255,255,255,2017,Jazz,now
Jatuh Cinta Setiap Hari,Rossa,256,256,256,2014,Jazz,now
Sisakan Hatimu,Rossa,257,257,257,2014,Jazz,now
Kamu yang Kutunggu,Rossa,258,258,258,2014,Jazz,now
Hijrah Cinta,Rossa,259,259,259,2014,Jazz,now
Salahkah,Rossa,260,260,260,2014,Jazz,now
Terbang,Kotak,261,261,261,2010,Rock,now
Pelan-Pelan Saja,Kotak,262,262,262,2010,Rock,now
Kerabat Kotak,Kotak,263,263,263,2010,Rock,now
Selalu Cinta,Kotak,264,264,264,2010,Rock,now
Cuci Mata,Kotak,265,265,265,2010,Rock,now
Cinta Jangan Pergi,Kotak,266,266,266,2010,Rock,now
Energi,Kotak,267,267,267,2010,Rock,now
Ku Ingin Sendiri,Kotak,268,268,268,2010,Rock,now
Kamu Adalah,Kotak,269,269,269,2014,Rock,now
Teka Teki,Kotak,270,270,270,2016,Rock,now
Ketika Senja,SupermanIsDead,271,271,271,2013,Rock,now
Bulan dan Ksatria,SupermanIsDead,272,272,272,2013,Rock,now
Kita Adalah Belati,SupermanIsDead,273,273,273,2013,Rock,now
Sunset di Tanah Anarki,SupermanIsDead,274,274,274,2013,Rock,now
Kita Luka Hari ini Mereka Luka Selamanya,SupermanIsDead,275,275,275,2013,Rock,now
Belati Tuhan,SupermanIsDead,276,276,276,2013,Rock,now
Suara Dalam Menara,SupermanIsDead,277,277,277,2013,Rock,now
Jadilah Legenda,SupermanIsDead,278,278,278,2013,Rock,now
Turning Back Time,SupermanIsDead,279,279,279,2013,Rock,now
Water not War,SupermanIsDead,280,280,280,2013,Rock,now
Seluruh Nafas Ini,Last Child,281,281,281,2012,Rock,now
Tak Pernah Ternilai,Last Child,282,282,282,2013,Rock,now
Sekuat Hatimu,Last Child,283,283,283,2012,Rock,now
Duka,Last Child,284,284,284,2016,Rock,now
Percayalah,Last Child,285,285,285,2012,Rock,now
Indahkah Perbedaan,Last Child,286,286,286,2012,Rock,now
Dunia Untukmu,Last Child,287,287,287,2017,Rock,now
Seharusnya,Last Child,288,288,288,2012,Rock,now
Sadarkan Aku,Last Child,289,289,289,2012,Rock,now
Rindumu Disana,Last Child,290,290,290,2012,Rock,now
"Pagi, Jangan Cepat Datang",Andra and Backbone,291,291,291,2010,Rock,now
Tunggu Aku,Andra and Backbone,292,292,292,2010,Rock,now
Jalanmu Bukan Jalanku,Andra and Backbone,293,293,293,2010,Rock,now
Mimpi Burukku,Andra and Backbone,294,294,294,2010,Rock,now
Victory,Andra and Backbone,295,295,295,2013,Rock,now
Lebih Dari Siapapun,Andra and Backbone,296,296,296,2013,Rock,now
Hidup Ini,Andra and Backbone,297,297,297,2013,Rock,now
Hikayat Cinta,Andra and Backbone,298,298,298,2013,Rock,now
Takluk,Andra and Backbone,299,299,299,2013,Rock,now
Alibi,Andra and Backbone,300,300,300,2012,Rock,now
Tetap Dalam Jiwa,Isyana,301,301,301,2015,Jazz,now
Kau Adalah,Isyana,302,302,302,2015,Jazz,now
Keep Being You,Isyana,303,303,303,2015,Jazz,now
Mimpi,Isyana,304,304,304,2015,Jazz,now
Cinta Pertama,Isyana,305,305,305,2015,Jazz,now
Terpesona,Isyana,306,306,306,2017,Jazz,now
Anganku Anganmu,Isyana,307,307,307,2017,Jazz,now
Lembaran Baru,Isyana,308,308,308,2017,Jazz,now
Nada Cinta,Isyana,309,309,309,2017,Jazz,now
Dibalas Waktu,Isyana,310,310,310,2015,Jazz,now
Manusia Biasa,Yovie and Nuno,311,311,311,2010,Pop,now
Mendengar Mimpi,Yovie and Nuno,312,312,312,2010,Pop,now
Sampai Akhir Waktu,Yovie and Nuno,313,313,313,2010,Pop,now
Malam Minggu ku,Yovie and Nuno,314,314,314,2010,Pop,now
Tak Memilikimu,Yovie and Nuno,315,315,315,2014,Pop,now
Mudah Melupakan,Yovie and Nuno,316,316,316,2014,Pop,now
Tanpa Cinta,Yovie and Nuno,317,317,317,2014,Pop,now
Sakit Hati,Yovie and Nuno,318,318,318,2014,Pop,now
Tergoda Bidadari,Yovie and Nuno,319,319,319,2014,Pop,now
Kurang Romantis,Yovie and Nuno,320,320,320,2014,Pop,now
Aku Bisa Apa?,Bunga Citra Lestari,321,321,321,2016,Pop,now
Aku Wanita,Bunga Citra Lestari,322,322,322,2017,Pop,now
Cinta Sejati,Bunga Citra Lestari,323,323,323,2012,Pop,now
Jangan Gila,Bunga Citra Lestari,324,324,324,2013,Pop,now
Jangan Salahkan Dia,Bunga Citra Lestari,325,325,325,2012,Pop,now
Mungkin Suatu Hari,Bunga Citra Lestari,326,326,326,2015,Pop,now
Cinta yang Teridnah,Bunga Citra Lestari,327,327,327,2015,Pop,now
3 Salahmu,Bunga Citra Lestari,328,328,328,2013,Pop,now
Hot,Bunga Citra Lestari,329,329,329,2012,Pop,now
Tundukan Dunia,Bunga Citra Lestari,330,330,330,2017,Pop,now
Harusnya Aku,Armada,331,331,331,2014,Pop,now
Pergi Pagi Pulang Pagi,Armada,332,332,332,2014,Pop,now
Hey Kamu,Armada,333,333,333,2014,Pop,now
Jangan Marah Lagi,Armada,334,334,334,2014,Pop,now
Katakan Sejujurnya,Armada,335,335,335,2014,Pop,now
Aku Dia Kekasihmu,Armada,336,336,336,2014,Pop,now
Penantian,Armada,337,337,337,2014,Pop,now
Hujan,Armada,338,338,338,2014,Pop,now
Berhati Besar,Armada,339,339,339,2014,Pop,now
Sakitnya Mencintaimu,Armada,340,340,340,2014,Pop,now
Langit Bumi,Wali,341,341,341,2011,Pop,now
Ada Gajah di Balik Batu,Wali,342,342,342,2014,Pop,now
Doaku Untukmu Sayang,Wali,343,343,343,2011,Pop,now
Nenekku Pahlawanku,Wali,344,344,344,2011,Pop,now
Si Udin Bertanya,Wali,345,345,345,2014,Pop,now
Takkan Pisah,Wali,346,346,346,2016,Pop,now
Aku Bukan Bang Toyib,Wali,347,347,347,2011,Pop,now
Jamin Rasaku,Wali,348,348,348,2014,Pop,now
Yang Penting Halal,Wali,349,349,349,2011,Pop,now
Masih Adakah,Wali,350,350,350,2011,Pop,now
Sakit Jiwa,Netral,351,351,351,2015,Rock,now
Pucat Pedih Serang,Netral,352,352,352,2014,Rock,now
Tendangan Halilintar,Netral,353,353,353,2015,Rock,now
Namanya Juga Netral,Netral,354,354,354,2014,Rock,now
Mars Pekerja,Netral,355,355,355,2015,Rock,now
Pergilah,Netral,356,356,356,2014,Rock,now
Desaku,Netral,357,357,357,2014,Rock,now
Si Licik,Netral,358,358,358,2014,Rock,now
Gak Asik,Netral,359,359,359,2015,Rock,now
Masih Ingatkah,Netral,360,360,360,2014,Rock,now
Bertarung,Netral,361,361,361,2014,Rock,now
Jadi Aku Sebentar Saja,Judika,362,362,362,2017,Rock,now
Mama Papa Larang,Judika,363,363,363,2014,Rock,now
Sampai Kau Jadi Milikku,Judika,364,364,364,2014,Rock,now
Apakah ini Cinta,Judika,365,365,365,2014,Rock,now
Jikalau Kau Cinta,Judika,366,366,366,2017,Rock,now
Lebih Dari Cinta,Judika,367,367,367,2017,Rock,now
Kenangan yang Salah,Judika,368,368,368,2017,Rock,now
Merelakannya,Judika,369,369,369,2014,Rock,now
Mama,Judika,370,370,370,2014,Rock,now
Kau Masih Milikku,Judika,371,371,371,2013,Rock,now
Aurora,Maliq D'Essential,372,372,372,2017,Jazz,now
Himalaya,Maliq D'Essential,373,373,373,2017,Jazz,now
Drama Romantika,Maliq D'Essential,374,374,374,2014,Jazz,now
Dunia Sekitar,Maliq D'Essential,375,375,375,2017,Jazz,now
Inilah Kita,Maliq D'Essential,376,376,376,2014,Jazz,now
Barcelona,Maliq D'Essential,377,377,377,2014,Jazz,now
Heaven,Maliq D'Essential,378,378,378,2017,Jazz,now
Kangen,Maliq D'Essential,379,379,379,2017,Jazz,now
Terlalu,Maliq D'Essential,380,380,380,2017,Jazz,now
The One,Maliq D'Essential,381,381,381,2017,Jazz,now
Melawan Dunia,RAN,382,382,382,2016,Pop,now
Dekat di Hati,RAN,383,383,383,2013,Pop,now
Salamku Untuk Kekasih,RAN,384,384,384,2016,Pop,now
Ombak Asmara,RAN,385,385,385,2016,Pop,now
Mager,RAN,386,386,386,2016,Pop,now
Nyanyian Harapan,RAN,387,387,387,2016,Pop,now
Salah Tingkah,RAN,388,388,388,2011,Pop,now
Mencuri Hati,RAN,389,389,389,2011,Pop,now
Tentang Kita,RAN,390,390,390,2011,Pop,now
Kenapa Mengapa,Coboy Junior,391,391,391,2013,Pop,now
Eaaa,Coboy Junior,392,392,392,2015,Pop,now
Kamu,Coboy Junior,393,393,393,2013,Pop,now
Terhebat,Coboy Junior,394,394,394,2013,Pop,now
Tante Linda,Coboy Junior,395,395,395,2015,Pop,now
Jika Bisa Memilih,Coboy Junior,396,396,396,2016,Pop,now
Demam Unyu Unyu,Coboy Junior,397,397,397,2013,Pop,now
Cantik Genic,Coboy Junior,398,398,398,2015,Pop,now
Mata Air,Coboy Junior,399,399,399,2016,Pop,now
Teman Saja,Coboy Junior,400,400,400,2015,Pop,now
Tonk Kosong,Slank,401,401,401,1997,Rock,1990'
Mandi Hujan,Slank,402,402,402,1997,Rock,1990'
Foto dalam Dompetmu,Slank,403,403,403,1997,Rock,1990'
Nggak Perlu,Slank,404,404,404,1997,Rock,1990'
Prakiraan Cuaca,Slank,405,405,405,1997,Rock,1990'
Anarki di RI,Slank,406,406,406,1997,Rock,1990'
Kalo Aku jadi Presiden,Slank,407,407,407,1997,Rock,1990'
Kampus Depok,Slank,408,408,408,1997,Rock,1990'
Nenekku Berang,Slank,409,409,409,1997,Rock,1990'
Telanjang,Slank,410,410,410,1997,Rock,1990'
Kamulah Satu-satunya,Dewa 19,411,411,411,1997,Pop,1990'
Kirana,Dewa 19,412,412,412,1997,Pop,1990'
Aku disini Untukmu,Dewa 19,413,413,413,1997,Pop,1990'
Bunga,Dewa 19,414,414,414,1997,Pop,1990'
Sebelum Kau Terlelap,Dewa 19,415,415,415,1997,Pop,1990'
Satu Sisi,Dewa 19,416,416,416,1997,Pop,1990'
Aspirasi Putih,Dewa 19,417,417,417,1997,Pop,1990'
Petuah Bijak,Dewa 19,418,418,418,1997,Pop,1990'
Selatan Jakarta,Dewa 19,419,419,419,1997,Pop,1990'
Cindi,Dewa 19,420,420,420,1997,Pop,1990'
Dimanakah Kau Berada,Gigi,421,421,421,1998,Pop,1990'
Terbang,Gigi,422,422,422,1998,Pop,1990'
Palsu,Gigi,423,423,423,1998,Pop,1990'
Kemarin,Gigi,424,424,424,1998,Pop,1990'
Kilas Balik,Gigi,425,425,425,1998,Pop,1990'
Dua Belas 'k',Gigi,426,426,426,1998,Pop,1990'
Rindukan Damai,Gigi,427,427,427,1998,Pop,1990'
Dan Kau Beri,Gigi,428,428,428,1998,Pop,1990'
Adakah yang Tersisa,Gigi,429,429,429,1994,Pop,1990'
Angan,Gigi,430,430,430,1994,Pop,1990'
Jatuh Cinta,Base Jam,431,431,431,1997,Rock,1990'
Rindu,Base Jam,432,432,432,1997,Rock,1990'
Bagai Pelangi,Base Jam,433,433,433,1997,Rock,1990'
Satu Hari,Base Jam,434,434,434,1997,Rock,1990'
Teman Lama,Base Jam,435,435,435,1997,Rock,1990'
